ID,Lat,Lon,pm25_value,AOD550,temp_2m,rhum,zonal_wind_10m,merid_wind_10m,surf_pres,hpbl,conv_prec,short_radi_surf,NDVI,DEM,Population,distance,NLCD_Developed,year,month,doy,rid
4454,-11.8665352,-77.0730057,32.85041667,0.2629735,289.2894023,87.40086,-0.417976273,0.84951911,81412.37105,360.0228984,0.0536,66.0330435648148,0.1496,186.0,8745,4037.168725,0.7566839444,2016,2,42,2
3431,-12.0284128,-76.9188995,23.5771375,0.281919,289.6109213,90.06778,-0.330255432,0.551598976,81317.86542,689.1496583,0.258451,71.3715718518519,0.0906,372.6666667,2979,884.9861099,0.4540568895,2016,2,43,2
4454,-11.8665352,-77.0730057,32.94385417,0.264891,289.347706,90.17421,-0.289236024,0.708078034,81363.41599,659.0789843,0.245176,71.7237559143519,0.1496,186.0,8745,4037.168725,0.7566839444,2016,2,43,2
3431,-12.0284128,-76.9188995,25.63549583,0.2803145,289.7378698,91.42125,-0.11671661,0.920053309,81294.58386,524.5512322,0.161772,87.5171096064815,0.0906,372.6666667,2979,884.9861099,0.4540568895,2016,2,44,2
4454,-11.8665352,-77.0730057,35.11333333,0.262298,289.3719688,90.54799,-0.199175157,1.023760205,81336.25916,340.8373786,0.218276,87.0738697800926,0.1496,186.0,8745,4037.168725,0.7566839444,2016,2,44,2
3431,-12.0284128,-76.9188995,24.13071375,0.3185,290.445296,87.29532,-0.408462899,0.948272691,81108.89906,300.3255508,0.0488,96.1171515856481,0.0906,372.6666667,2979,884.9861099,0.4540568895,2016,2,45,2
4454,-11.8665352,-77.0730057,34.50833333,0.235,290.039287,86.906,-0.52860002,1.096381838,81153.04243,413.6254442,0.0442,95.4175908564815,0.1496,186.0,8745,4037.168725,0.7566839444,2016,2,45,2
3431,-12.0284128,-76.9188995,24.03049667,0.336317,290.2143095,89.21614,-0.348692166,0.907391956,81045.83861,304.7344833,0.0614,94.7620666319444,0.0906,372.6666667,2979,884.9861099,0.4540568895,2016,2,46,2
4454,-11.8665352,-77.0730057,28.76041667,0.243251629,289.8308828,88.6173,-0.440729556,1.092287406,81091.52461,413.3807446,0.0664,94.7846246412037,0.1496,186.0,8745,4037.168725,0.7566839444,2016,2,46,2
2577,-12.163311,-76.9192429,39.60774583,0.307724113,291.4201174,85.40326,-0.341619476,1.090041859,83024.70974,306.5398836,0.0555,98.3336403935185,0.1496,328.3076923,2589,6474.234323,0.0189896755,2016,2,47,2
3431,-12.0284128,-76.9188995,24.50076667,0.331956,290.6162147,83.55324,-0.37786252,0.884755349,81031.66648,603.508011,0.0898,98.7836861574074,0.0906,372.6666667,2979,884.9861099,0.4540568895,2016,2,47,2
4454,-11.8665352,-77.0730057,28.79111111,0.322911259,290.2426678,83.57267,-0.472994922,1.030280112,81076.46183,618.6668686,0.113084,98.7863420949074,0.1496,186.0,8745,4037.168725,0.7566839444,2016,2,47,2
3431,-12.0284128,-76.9188995,22.35839958,0.23379035,289.7760219,92.4034,-0.388793293,1.023078971,81319.78885,435.2132987,0.246025,70.8344945949074,0.102,372.6666667,2979,884.9861099,0.4540568895,2016,2,59,2
